Candidates,Voters,Dispersion,Voting Method,L=1,L=2,L=3,L=4,L=5,L=6,L=7
6,300,0.9,Schulze,0.68,0.787,0.875,0.916,1.0,1.0,0
6,300,0.9,Bucklin,0.606,0.735,1.0,1.0,1.0,1.0,0
6,300,0.9,Plurality With Runoff,0.715,0.823,0.896,0.928,1.0,1.0,0
6,300,0.9,Coombs,0.669,0.779,0.849,0.9,1.0,1.0,0
6,300,1,Schulze,0.404,0.545,0.642,0.778,1.0,1.0,0
6,300,1,Bucklin,0.305,0.449,1.0,1.0,1.0,1.0,0
6,300,1,Plurality With Runoff,0.556,0.694,0.792,0.869,1.0,1.0,0
6,300,1,Coombs,0.321,0.432,0.511,0.627,1.0,1.0,0
6,400,0.7,Schulze,0.995,0.999,0.999,0.999,1.0,1.0,0
6,400,0.7,Bucklin,0.991,1.0,1.0,1.0,1.0,1.0,0
6,400,0.7,Plurality With Runoff,0.995,0.999,0.999,0.999,1.0,1.0,0
6,400,0.7,Coombs,0.995,0.999,0.999,0.999,1.0,1.0,0
6,400,0.8,Schulze,0.944,0.977,0.987,0.992,1.0,1.0,0
6,400,0.8,Bucklin,0.915,0.953,1.0,1.0,1.0,1.0,0
6,400,0.8,Plurality With Runoff,0.944,0.976,0.987,0.992,1.0,1.0,0
6,400,0.8,Coombs,0.944,0.977,0.987,0.992,1.0,1.0,0
6,400,0.9,Schulze,0.697,0.822,0.894,0.934,1.0,1.0,0
6,400,0.9,Bucklin,0.625,0.743,1.0,1.0,1.0,1.0,0
6,400,0.9,Plurality With Runoff,0.722,0.843,0.913,0.943,1.0,1.0,0
6,400,0.9,Coombs,0.684,0.807,0.875,0.918,1.0,1.0,0
6,400,1,Schulze,0.407,0.54,0.684,0.792,1.0,1.0,0
6,400,1,Bucklin,0.338,0.469,1.0,1.0,1.0,1.0,0
6,400,1,Plurality With Runoff,0.56,0.706,0.797,0.897,1.0,1.0,0
6,400,1,Coombs,0.345,0.439,0.526,0.656,1.0,1.0,0
6,500,0.7,Schulze,0.997,1.0,1.0,1.0,1.0,1.0,0
6,500,0.7,Bucklin,0.997,1.0,1.0,1.0,1.0,1.0,0
6,500,0.7,Plurality With Runoff,0.997,1.0,1.0,1.0,1.0,1.0,0
6,500,0.7,Coombs,0.997,1.0,1.0,1.0,1.0,1.0,0
6,500,0.8,Schulze,0.967,0.987,0.994,0.996,1.0,1.0,0
6,500,0.8,Bucklin,0.956,0.96,1.0,1.0,1.0,1.0,0
6,500,0.8,Plurality With Runoff,0.967,0.987,0.994,0.996,1.0,1.0,0
6,500,0.8,Coombs,0.967,0.987,0.994,0.996,1.0,1.0,0
6,500,0.9,Schulze,0.757,0.871,0.916,0.952,1.0,1.0,0
6,500,0.9,Bucklin,0.689,0.804,1.0,1.0,1.0,1.0,0
6,500,0.9,Plurality With Runoff,0.78,0.893,0.935,0.961,1.0,1.0,0
6,500,0.9,Coombs,0.753,0.864,0.912,0.938,1.0,1.0,0
6,500,1,Schulze,0.408,0.557,0.661,0.779,1.0,1.0,0
6,500,1,Bucklin,0.334,0.465,1.0,1.0,1.0,1.0,0
6,500,1,Plurality With Runoff,0.537,0.685,0.79,0.859,1.0,1.0,0
6,500,1,Coombs,0.309,0.406,0.498,0.643,1.0,1.0,0
6,600,0.7,Schulze,1.0,1.0,1.0,1.0,1.0,1.0,0
6,600,0.7,Bucklin,1.0,1.0,1.0,1.0,1.0,1.0,0
6,600,0.7,Plurality With Runoff,1.0,1.0,1.0,1.0,1.0,1.0,0
6,600,0.7,Coombs,1.0,1.0,1.0,1.0,1.0,1.0,0
6,600,0.8,Schulze,0.974,0.99,0.998,1.0,1.0,1.0,0
6,600,0.8,Bucklin,0.96,0.972,1.0,1.0,1.0,1.0,0
6,600,0.8,Plurality With Runoff,0.974,0.99,0.998,1.0,1.0,1.0,0
6,600,0.8,Coombs,0.974,0.99,0.998,1.0,1.0,1.0,0
6,600,0.9,Schulze,0.775,0.88,0.931,0.955,1.0,1.0,0
6,600,0.9,Bucklin,0.717,0.832,1.0,1.0,1.0,1.0,0
6,600,0.9,Plurality With Runoff,0.793,0.896,0.938,0.962,1.0,1.0,0
6,600,0.9,Coombs,0.772,0.875,0.926,0.95,1.0,1.0,0
6,600,1,Schulze,0.413,0.547,0.659,0.787,1.0,1.0,0
6,600,1,Bucklin,0.305,0.456,1.0,1.0,1.0,1.0,0
6,600,1,Plurality With Runoff,0.57,0.694,0.807,0.864,1.0,1.0,0
6,600,1,Coombs,0.33,0.435,0.534,0.652,1.0,1.0,0
6,2000,0.7,Schulze,1.0,1.0,1.0,1.0,1.0,1.0,0
6,2000,0.7,Bucklin,1.0,1.0,1.0,1.0,1.0,1.0,0
6,2000,0.7,Plurality With Runoff,1.0,1.0,1.0,1.0,1.0,1.0,0
6,2000,0.7,Coombs,1.0,1.0,1.0,1.0,1.0,1.0,0
6,2000,0.8,Schulze,1.0,1.0,1.0,1.0,1.0,1.0,0
6,2000,0.8,Bucklin,1.0,1.0,1.0,1.0,1.0,1.0,0
6,2000,0.8,Plurality With Runoff,1.0,1.0,1.0,1.0,1.0,1.0,0
6,2000,0.8,Coombs,1.0,1.0,1.0,1.0,1.0,1.0,0
6,2000,0.9,Schulze,0.935,0.974,0.986,0.992,1.0,1.0,0
6,2000,0.9,Bucklin,0.926,0.953,1.0,1.0,1.0,1.0,0
6,2000,0.9,Plurality With Runoff,0.936,0.975,0.987,0.993,1.0,1.0,0
6,2000,0.9,Coombs,0.935,0.974,0.986,0.992,1.0,1.0,0
6,2000,1,Schulze,0.434,0.579,0.703,0.819,1.0,1.0,0
6,2000,1,Bucklin,0.342,0.507,1.0,1.0,1.0,1.0,0
6,2000,1,Plurality With Runoff,0.571,0.716,0.813,0.882,1.0,1.0,0
6,2000,1,Coombs,0.346,0.444,0.551,0.676,1.0,1.0,0
7,100,0.7,Schulze,0.899,0.944,0.979,0.988,0.996,1.0,1.0
7,100,0.7,Bucklin,0.882,0.953,1.0,1.0,1.0,1.0,1.0
7,100,0.7,Plurality With Runoff,0.901,0.946,0.978,0.99,0.996,1.0,1.0
7,100,0.7,Coombs,0.9,0.943,0.978,0.988,0.996,1.0,1.0
7,100,0.8,Schulze,0.746,0.867,0.902,0.92,0.957,1.0,1.0
7,100,0.8,Bucklin,0.671,0.789,1.0,1.0,1.0,1.0,1.0
7,100,0.8,Plurality With Runoff,0.781,0.89,0.922,0.938,0.965,1.0,1.0
7,100,0.8,Coombs,0.744,0.863,0.901,0.915,0.951,1.0,1.0
7,100,0.9,Schulze,0.495,0.646,0.752,0.807,0.881,1.0,1.0
7,100,0.9,Bucklin,0.433,0.598,0.911,1.0,1.0,1.0,1.0
7,100,0.9,Plurality With Runoff,0.574,0.723,0.808,0.848,0.913,1.0,1.0
7,100,0.9,Coombs,0.466,0.598,0.675,0.748,0.831,1.0,1.0
7,100,1,Schulze,0.34,0.472,0.57,0.668,0.779,1.0,1.0
7,100,1,Bucklin,0.252,0.371,0.578,1.0,1.0,1.0,1.0
7,100,1,Plurality With Runoff,0.494,0.608,0.71,0.787,0.859,1.0,1.0
7,100,1,Coombs,0.254,0.343,0.424,0.504,0.617,1.0,1.0
7,200,0.7,Schulze,0.958,0.982,0.989,0.99,0.995,1.0,1.0
7,200,0.7,Bucklin,0.945,0.987,1.0,1.0,1.0,1.0,1.0
7,200,0.7,Plurality With Runoff,0.959,0.981,0.988,0.99,0.995,1.0,1.0
7,200,0.7,Coombs,0.958,0.982,0.989,0.99,0.995,1.0,1.0
7,200,0.8,Schulze,0.855,0.92,0.957,0.964,0.983,1.0,1.0
7,200,0.8,Bucklin,0.817,0.869,1.0,1.0,1.0,1.0,1.0
